,Cost,State,Income,NRI for flooding
Apache,853,Arizona,"45,633",130563.7
Cochise,"1,689",Arizona,"50,195",4143755
Coconino,899,Arizona,"58,933",15406612
Gila,853,Arizona,"50,505",4684136
Graham,853,Arizona,"40,981",847155.5
Greenlee,853,Arizona,"54,219",210244.3
LaPaz,"1,505",Arizona,"53,997",8491133
Maricopa,"1,669",Arizona,"63,461",6904743
Mohave,"1,559",Arizona,"44,645",7187375
Navajo,869,Arizona,"42,096",3662842
Pima,"1,191",Arizona,"54,464",12921089
Pinal,853,Arizona,"45,950",5706948
SantaCruz,"1,299",Arizona,"47,898",3364030
Yavapai,"1,177",Arizona,"51,747",36.69373
Yuma,"1,669",Arizona,"44,811",2950107
Adams,"3,113",Colorado,"54,681",617671.7
Alamosa,"2,699",Colorado,"43,071",193861.4
Arapahoe,"2,319",Colorado,"76,304",366392.7
Archuleta,"2,699",Colorado,"55,120",68148.15
Baca,"2,699",Colorado,"45,659",14.60654
Bent,"1,588",Colorado,"32,978",227782.8
Boulder,"3,417",Colorado,"98,553",18860979
Broomfield,"2,918",Colorado,"86,930",57320.5
Chaffee,"2,901",Colorado,"64,561",217716.9
Cheyenne,"1,567",Colorado,"52,629",91402.13
ClearCreek,"3,390",Colorado,"77,455",81403.3
Conejos,"2,699",Colorado,"43,300",16712.25
Costilla,"2,699",Colorado,"39,571",106778.4
Crowley,"1,709",Colorado,"22,240",25834.17
Custer,"2,768",Colorado,"50,780",219390.5
Delta,"2,948",Colorado,"47,593",318704.5
Denver,"3,458",Colorado,"112,290",256251.5
Dolores,"2,948",Colorado,"38,962",32283.02
Douglas,"3,496",Colorado,"99,168",552047
Eagle,"3,359",Colorado,"113,643",476942.2
Elbert,"2,630",Colorado,"76,264",56495.04
ElPaso,"2,699",Colorado,"61,076",4515736
Fremont,"2,798",Colorado,"42,499",2059377
Garfield,"3,359",Colorado,"65,657",604374.7
Gilpin,"3,353",Colorado,"66,285",91302.33
Grand,"3,383",Colorado,"68,066",4986.68
Gunnison,"2,948",Colorado,"65,797",757549.5
Hinsdale,"2,865",Colorado,"61,084",16612.18
Huerfano,"2,699",Colorado,"49,407",1326237
Jackson,"3,366",Colorado,"63,428",1683.231
Jefferson,"3,390",Colorado,"79,751",6909796
Kiowa,"1,567",Colorado,"51,779",0
KitCarson,"1,567",Colorado,"43,807",0
Lake,"3,336",Colorado,"51,963",5008.36
LaPlata,"2,699",Colorado,"68,794",741661.3
Larimer,"3,340",Colorado,"67,849",25754594
LasAnimas,"2,699",Colorado,"44,498",628361.2
Lincoln,"1,567",Colorado,"34,678",113714.1
Logan,"1,567",Colorado,"49,736",5365845
Mesa,"2,948",Colorado,"54,654",1692895
Mineral,"2,699",Colorado,"67,889",51618.15
Moffat,"3,154",Colorado,"47,523",103160.2
Montezuma,"2,948",Colorado,"50,508",172502.6
Montrose,"2,948",Colorado,"50,848",814391.2
Morgan,"1,567",Colorado,"50,640",6106581
Otero,"1,567",Colorado,"41,533",455587.7
Ouray,"2,938",Colorado,"88,190",200807.1
Park,"3,303",Colorado,"61,230",28581.68
Phillips,"1,567",Colorado,"48,096",71419.23
Pitkin,"3,172",Colorado,"217,482",548234
Prowers,"2,144",Colorado,"45,223",260533.4
Pueblo,"2,699",Colorado,"47,208",6403588
RioBlanco,"3,257",Colorado,"56,583",298453.3
RioGrande,"2,699",Colorado,"54,513",1146334
Routt,"3,366",Colorado,"119,278",313975.2
Saguache,"2,699",Colorado,"37,247",11008.58
SanJuan,"2,904",Colorado,"53,172",3979.405
SanMiguel,"2,948",Colorado,"138,635",443018.1
Sedgwick,"1,567",Colorado,"44,053",1053011
Summit,"3,327",Colorado,"94,423",119357.6
Teller,"2,720",Colorado,"65,399",154286.1
Washington,"1,567",Colorado,"43,100",307504.2
Weld,"1,567",Colorado,"58,860",16112056
Yuma,"1,567",Colorado,"44,948",115388.1
Ada,"1,363",Idaho,"67,555",850508.3
Adams,"1,363",Idaho,"43,730",49324.59
Bannock,"1,363",Idaho,"47,457",315408
BearLake,"1,363",Idaho,"48,506",9231.873
Benewah,"1,363",Idaho,"43,568",436070.4
Bingham,"1,363",Idaho,"46,908",263676.3
Blaine,"1,363",Idaho,"165,640",311321.9
Boise,"1,363",Idaho,"53,627",41272.16
Bonner,"1,363",Idaho,"51,980",245128.2
Bonneville,"1,363",Idaho,"62,984",117007.5
Boundary,"1,363",Idaho,"45,392",637085.8
Butte,"1,363",Idaho,"53,691",73255.46
Camas,"1,363",Idaho,"61,839",9716.89
Canyon,"1,363",Idaho,"45,412",330660.3
Caribou,"1,363",Idaho,"48,447",49271.93
Cassia,"1,363",Idaho,"54,637",702176.3
Clark,"1,363",Idaho,"47,270",19982.79
Clearwater,"1,363",Idaho,"43,539",141400.4
Custer,"1,363",Idaho,"51,352",189805.5
